Title,Rating,Votes,Genre,Duration
Your Monster,6.4,6200,"Dark Comedy, Dark Romance, Romantic Comedy, Comedy, Horror, Romance",103
Bird,7.0,9400,"Coming-of-Age, Drama",119
Kryptic,4.1,587,"Drama, Horror, Mystery, Thriller",102
Lift,5.5,50000,"Heist, Action, Comedy, Crime, Drama, Thriller",107
Azrael,5.4,12000,"Monster Horror, Action, Horror",86
Bring Them Down,6.5,4100,"Psychological Thriller, Drama, Thriller",106
Never Let Go,5.4,16000,"Supernatural Horror, Horror, Thriller",101
The Garfield Movie,5.7,25000,"Animal Adventure, Computer Animation, Farce, Adventure, Animation, Comedy, Family, Fantasy",101
Hard Truths,7.2,6300,"Dark Comedy, Psychological Drama, Comedy, Drama",97
The Bibi Files,7.5,1300,"Biography, Documentary",0
Twilight of the Warriors: Walled In,7.0,10000,"Martial Arts, Action, Crime, Thriller",126
Pushpa: The Rule - Part 2,6.1,58000,"Action Epic, Gangster, One-Person Army Action, Action, Crime, Drama, Thriller",201
Misericordia,6.8,2500,"Dark Comedy, Psychological Drama, Comedy, Crime, Drama",104
Armor,3.6,4500,"Heist, Action, Crime, Drama, Thriller",89
The End,5.5,2300,"Dystopian Sci-Fi, Drama, Fantasy, Musical, Sci-Fi",148
11 Rebels,6.3,660,"Martial Arts, Period Drama, Action, Drama, History, Thriller",0
Interlopers,5.4,39,"Zombie Horror, Horror",0
Mr. K,5.5,1000,"Psychological Drama, Suspense Mystery, Drama, Mystery",0
Solo Leveling: ReAwakening,8.8,14000,"Action Epic, Anime, Dark Fantasy, One-Person Army Action, Supernatural Fantasy, Survival, Action, Adventure, Animation, Fantasy",121
Hellboy: The Crooked Man,4.5,14000,"Body Horror, Folk Horror, Monster Horror, Superhero, Supernatural Horror, Suspense Mystery, Witch Horror, Zombie Horror, Action, Horror",99
The Silent Hour,6.1,8300,"Action, Crime, Thriller",99
Beating Hearts,7.0,5900,"Coming-of-Age, Tragic Romance, Crime, Drama, Romance",0
Spellbound,5.5,7800,"Computer Animation, Pop Musical, Adventure, Animation, Comedy, Family, Fantasy, Musical",109
Apocalypse Z: The Beginning of the End,6.1,21000,"Zombie Horror, Action, Horror, Sci-Fi, Thriller",0
Kalki 2898 AD,7.0,68000,"Action Epic, Desert Adventure, Dystopian Sci-Fi, Epic, Sci-Fi Epic, Action, Adventure, Drama, Fantasy, Sci-Fi",180
Unstoppable,6.8,4400,"Docudrama, Drama, Sport",116
Armand,6.2,3200,"Psychological Drama, Drama",118
Arthur the King,7.0,35000,"Extreme Sport, Adventure, Drama, Sport",107
Sketch,8.4,67,"Adventure, Comedy, Fantasy",92
Lonely Planet,5.7,12000,"Drama, Romance",94
Die Alone,5.8,3900,"Zombie Horror, Drama, Horror, Mystery, Romance, Sci-Fi, Thriller",90
Meiyazhagan,8.4,15000,"Coming-of-Age, Period Drama, Drama, Family",177
Sister Midnight,6.4,660,"Dark Comedy, Quirky Comedy, Comedy, Drama",107
The Severed Sun,4.9,301,Horror,0
Lick,6.2,956,Romance,0
Sacramento,5.9,1600,"Buddy Comedy, Comedy",89
Bob Trevino Likes It,7.5,2100,"Coming-of-Age, Comedy, Drama",101
Young Woman and the Sea,7.5,18000,"Water Sport, Biography, Drama, Romance, Sport",129
Find Me Falling,6.3,13000,"Feel-Good Romance, Romantic Comedy, Comedy, Music, Romance",93
Dreams (Sex Love),7.6,711,"Coming-of-Age, Psychological Drama, Drama, Romance",0
Souleymane's Story,7.6,3900,Drama,0
Bad Shabbos,7.1,278,Comedy,0
Rumours,4.9,5100,"Dark Comedy, Political Drama, Satire, Zombie Horror, Comedy, Drama, Horror",104
Girls Will Be Girls,7.1,2700,"Coming-of-Age, Drama, Romance",118
Upgraded,6.1,30000,"Romantic Comedy, Comedy, Romance",104
Witchboard,7.6,103,"Supernatural Horror, Witch Horror, Horror, Mystery",115
Lisa Frankenstein,6.1,29000,"Dark Comedy, Dark Romance, Comedy, Horror, Romance",101
Brothers,5.4,14000,"Dark Comedy, Action, Comedy, Crime",89
The Marching Band,7.4,3800,"Comedy, Drama, Music",0
Shelby Oaks,5.8,256,"Horror, Thriller",0
Take Cover,5.1,2800,"Conspiracy Thriller, Action, Thriller",90
Trigger Warning,4.6,20000,"One-Person Army Action, Action, Crime, Thriller",106
